key,text
vwa--boot,Void War Access chargé.
vwa--action-stop-speech,Arrêter la parole
vwa--action-panic-reset,Réinitialiser la parole
vwa--speech-reset,Parole réinitialisée
vwa--action-nav-up,Naviguer vers le haut
vwa--action-nav-down,Naviguer vers le bas
vwa--action-nav-left,Naviguer à gauche
vwa--action-nav-right,Naviguer à droite
vwa--action-nav-left-large,Grand pas vers le bas
vwa--action-nav-right-large,Grand pas vers le haut
vwa--action-nav-activate,Activer
vwa--action-nav-next-stop,Groupe de contrôles suivant
vwa--action-nav-prev-stop,Groupe de contrôles précédent
vwa--action-nav-home,Aller au premier contrôle
vwa--action-nav-end,Aller au dernier contrôle
vwa--pos-of,{n} sur {m}
vwa--no-action,Aucune action
vwa--role-button,bouton
vwa--role-toggle,bascule
vwa--role-slider,curseur
vwa--screen-menu,Menu
vwa--role-combo,zone de liste déroulante
vwa--state-checked,coché
vwa--state-unchecked,non coché
vwa--state-selected,sélectionné
vwa--state-disabled,indisponible
vwa--action-nav-back,Retour
vwa--screen-confirm,Confirmation
vwa--screen-pause,Menu pause
vwa--group-generic,groupe
vwa--role-option,option
vwa--role-submenu,sous-menu
vwa--action-nav-jump-up,Aller au titre du sous-menu
vwa--action-nav-jump-down,Passer le sous-menu
vwa--submenu-items,{k} éléments
vwa--submenu-item-one,1 élément
vwa--search-no-match,"{text}, aucun résultat"
vwa--search-cleared,Recherche effacée
vwa--group-social,Liens sociaux
vwa--role-edit,champ de saisie
vwa--text-editing,Modification
vwa--text-edit-closed,Modification terminée
vwa--text-changed,Texte modifié
vwa--text-blank,vide
vwa--char-space,espace
vwa--action-text-read,Lire le texte
vwa--action-text-exit,Terminer la modification
vwa--action-line-prev,Ligne précédente de l'annonce
vwa--action-line-next,Ligne suivante de l'annonce
vwa--line-top,Début
vwa--line-bottom,Fin
vwa--commander-hidden,Commandant caché
vwa--state-locked,verrouillé
vwa--state-new,nouveau
vwa--not-enough-resonance,Resonance insuffisante
vwa--page-prev,Page précédente
vwa--page-next,Page suivante
vwa--page-of,Page {n} sur {m}
vwa--page-new,{k} nouveaux
vwa--randomize-name,Nom aléatoire
vwa--sheet-stats,"Santé {hp} sur {maxhp}, attaque {atk}"
vwa--sheet-type,Type : {list}
vwa--sheet-trait,Trait : {text}
vwa--sheet-innate,Capacité innée : {name} : {text}
vwa--slot-armor,Emplacement d'armure
vwa--slot-weapon,Emplacement d'arme
vwa--slot-tool,Emplacement d'outil
vwa--slot-psychic,Emplacement psychique
vwa--sheet-slot-filled,{slot} : {item} : {text}
vwa--sheet-slot-empty,{slot} : vide
vwa--sheet-add-equip,Équipement supplémentaire : {list}
vwa--sheet-count,{n}x {name}
